id,key,value,type
88923726,highway,traffic_signals,regular
88983327,created_by,JOSM,regular
89004335,created_by,JOSM,regular
89004734,created_by,JOSM,regular
90851819,created_by,JOSM,regular
90892433,created_by,JOSM,regular
91206478,created_by,JOSM,regular
93569613,created_by,JOSM,regular
93570000,created_by,JOSM,regular
93570505,created_by,JOSM,regular
93571229,created_by,JOSM,regular
93571902,created_by,JOSM,regular
93572380,created_by,JOSM,regular
96327081,created_by,JOSM,regular
97549053,created_by,JOSM,regular
97549554,created_by,JOSM,regular
99955604,created_by,JOSM,regular
99955837,created_by,JOSM,regular
103822221,highway,traffic_signals,regular
103840459,created_by,JOSM,regular
105172095,highway,turning_circle,regular
105172095,source,yahoo_imagery,regular
114310664,highway,traffic_signals,regular
117056262,created_by,JOSM,regular
117056262,name,Cambridge Gardens,regular
117056262,place,suburb,regular
117056262,nswgnb,SUBURB,place
117056262,nswgnb,10711,ref
117056262,source,nswgnb,regular
117056763,name,Mount Vernon,regular
117056763,place,suburb,regular
117056763,nswgnb,SUBURB,place
117056763,nswgnb,72565,ref
117056763,source,nswgnb,regular
117062678,created_by,JOSM,regular
117062678,name,Glenfield,regular
117062678,place,suburb,regular
117062678,nswgnb,SUBURB,place
117062678,nswgnb,20629,ref
117062678,source,nswgnb,regular
117076289,is_in,Baulkham Hills,regular
117076289,name,Crestwood,regular
117076289,place,locality,regular
117076289,nswgnb,RURAL PLACE,place
117076289,nswgnb,78884,ref
117076289,source,nswgnb,regular
117076289,wikipedia,"en:Crestwood, New South Wales",regular
117078644,created_by,Potlatch 0.5d,regular
117078644,name,North Narrabeen,regular
117078644,place,suburb,regular
117078644,nswgnb,SUBURB,place
117078644,nswgnb,42888,ref
117078644,source,nswgnb,regular
117083759,created_by,Potlatch 0.5d,regular
117083759,name,Long Reef,regular
117083759,place,suburb,regular
117083759,nswgnb,URBAN PLACE,place
117083759,nswgnb,33700,ref
117083759,source,nswgnb,regular
117098213,created_by,JOSM,regular
117098213,name,St Ives Chase,regular
117098213,place,suburb,regular
117098213,nswgnb,SUBURB,place
117098213,nswgnb,50895,ref
117098213,source,nswgnb,regular
117109726,created_by,JOSM,regular
117109726,name,Huntleys Point,regular
117109726,place,suburb,regular
117109726,nswgnb,SUBURB,place
117109726,nswgnb,24518,ref
117109726,source,nswgnb,regular
117124112,is_in,"New South Wales,Australia",regular
117124112,name,Milsons Point,regular
117124112,place,suburb,regular
117124112,nswgnb,SUBURB,place
117124112,nswgnb,38119,ref
117124112,source,nswgnb,regular
117132803,name,Sylvania Waters,regular
117132803,place,suburb,regular
117132803,nswgnb,SUBURB,place
117132803,nswgnb,56533,ref
117132803,source,nswgnb,regular
117138548,created_by,JOSM,regular
117138548,name,Yagoona,regular
117138548,place,suburb,regular
117138548,nswgnb,SUBURB,place
117138548,nswgnb,66795,ref
117138548,source,nswgnb,regular
117143281,created_by,JOSM,regular
117143281,name,Hassall Grove,regular
117143281,place,suburb,regular
117143281,nswgnb,SUBURB,place
117143281,nswgnb,71496,ref
117143281,source,nswgnb,regular
117143673,name,The Ponds,regular
117143673,place,suburb,regular
117143673,nswgnb,SUBURB,place
117143673,nswgnb,82752,ref
117143673,source,nswgnb,regular
117151896,created_by,Potlatch 0.9c,regular
117151896,is_in,"Sydney, New South Wales, Australia",regular
117151896,name,Wareemba,regular
117151896,place,suburb,regular
117151896,nswgnb,SUBURB,place
117151896,nswgnb,74907,ref
117151896,source,nswgnb,regular
117157865,created_by,JOSM,regular
117157865,name,Hurlstone Park,regular
117157865,place,suburb,regular
117157865,nswgnb,SUBURB,place
117157865,nswgnb,24552,ref
117157865,source,nswgnb,regular
117162483,name,Beverly Hills,regular
117162483,place,suburb,regular
117162483,nswgnb,SUBURB,place
117162483,nswgnb,4523,ref
117162483,source,nswgnb,regular
117167760,created_by,JOSM,regular
117167760,name,Green Valley,regular
117167760,place,suburb,regular
117167760,nswgnb,SUBURB,place
117167760,nswgnb,21932,ref
117167760,source,nswgnb,regular
117178218,created_by,Potlatch 0.5d,regular
117178218,name,Harris Park,regular
117178218,place,suburb,regular
117178218,nswgnb,SUBURB,place
117178218,nswgnb,23135,ref
117178218,source,nswgnb,regular
117178735,name,Westmead,regular
117178735,place,suburb,regular
117178735,nswgnb,SUBURB,place
117178735,nswgnb,64258,ref
117178735,source,nswgnb,regular
117189037,name,Homebush West,regular
117189037,place,suburb,regular
117189037,nswgnb,SUBURB,place
117189037,nswgnb,74029,ref
117189037,source,nswgnb,regular
117205706,created_by,JOSM,regular
117205706,name,Bellevue Hill,regular
117205706,place,suburb,regular
117205706,nswgnb,SUBURB,place
117205706,nswgnb,3790,ref
117205706,source,nswgnb,regular
124733991,highway,turning_circle,regular
124811277,highway,traffic_signals,regular
124838134,amenity,parking,regular
124838134,created_by,Potlatch 0.7a,regular
127556537,highway,turning_circle,regular
127556537,source,nearmap,regular
129245332,highway,turning_circle,regular
129259192,highway,traffic_signals,regular
137352599,highway,turning_circle,regular
139444016,highway,turning_circle,regular
139607102,highway,traffic_signals,regular
141025568,highway,traffic_signals,regular
142832757,highway,turning_circle,regular
142832757,source,nearmap,regular
143485639,highway,turning_circle,regular
143634176,source,GPS survey,regular
143638298,source,GPS survey,regular
145815894,amenity,fast_food,regular
145815894,cuisine,burger,regular
145815894,drive_through,yes,regular
145815894,name,McDonald's,regular
148869796,source,GPS survey,regular
150916637,highway,turning_circle,regular
150928065,highway,turning_circle,regular
150928065,source,nearmap,regular
151389431,highway,turning_circle,regular
152288588,created_by,JOSM,regular
152293196,created_by,JOSM,regular
152308539,created_by,JOSM,regular
152313036,created_by,JOSM,regular
152315103,created_by,JOSM,regular
152391210,created_by,JOSM,regular
152395688,created_by,JOSM,regular
152400454,created_by,JOSM,regular
152407804,created_by,JOSM,regular
152410393,created_by,JOSM,regular
152711500,highway,traffic_signals,regular
154109840,created_by,JOSM,regular
154111084,created_by,JOSM,regular
154112331,created_by,JOSM,regular
154113751,created_by,JOSM,regular
154117886,created_by,JOSM,regular
154119918,created_by,JOSM,regular
154121516,created_by,JOSM,regular
154125317,created_by,JOSM,regular
154126929,created_by,JOSM,regular
154153304,created_by,JOSM,regular
154161656,created_by,JOSM,regular
154176679,created_by,JOSM,regular
154177629,created_by,JOSM,regular
154178774,created_by,JOSM,regular
154180397,created_by,JOSM,regular
154182477,created_by,JOSM,regular
154184769,created_by,JOSM,regular
154190043,created_by,JOSM,regular
156348969,highway,turning_circle,regular
159346509,created_by,JOSM,regular
159353163,created_by,JOSM,regular
159354207,created_by,JOSM,regular
159357963,created_by,JOSM,regular
159359429,created_by,JOSM,regular
159360987,created_by,JOSM,regular
159362335,created_by,JOSM,regular
159363397,created_by,JOSM,regular
159364819,created_by,JOSM,regular
161504855,created_by,JOSM,regular
161506742,created_by,JOSM,regular
161514095,created_by,JOSM,regular
161517620,created_by,JOSM,regular
161525106,created_by,JOSM,regular
161526085,created_by,JOSM,regular
161526822,created_by,JOSM,regular
161531225,created_by,JOSM,regular
161532088,created_by,JOSM,regular
161533227,created_by,JOSM,regular
161534894,highway,turning_circle,regular
161538249,created_by,JOSM,regular
161542268,highway,turning_circle,regular
161588433,highway,turning_circle,regular
163547848,highway,turning_circle,regular
164029843,created_by,JOSM,regular
164072793,created_by,JOSM,regular
165738674,created_by,JOSM,regular
165738705,created_by,JOSM,regular
165738733,created_by,JOSM,regular
165738791,created_by,JOSM,regular
165738905,created_by,JOSM,regular
165738969,created_by,JOSM,regular
165739247,created_by,JOSM,regular
165740244,created_by,JOSM,regular
165740733,created_by,JOSM,regular
165742452,created_by,JOSM,regular
165742898,created_by,JOSM,regular
165743448,created_by,JOSM,regular
165743948,created_by,JOSM,regular
165744337,created_by,JOSM,regular
165745100,created_by,JOSM,regular
167016094,created_by,JOSM,regular
167017032,created_by,JOSM,regular
167018856,created_by,JOSM,regular
167021330,created_by,JOSM,regular
167022393,created_by,JOSM,regular
167024762,created_by,JOSM,regular
167026465,created_by,JOSM,regular
167033417,created_by,JOSM,regular
167034405,created_by,JOSM,regular
167035778,created_by,JOSM,regular
167036602,created_by,JOSM,regular
167037442,created_by,JOSM,regular
167038535,created_by,JOSM,regular
167039340,created_by,JOSM,regular
167040272,created_by,JOSM,regular
167041443,created_by,JOSM,regular
167042941,created_by,JOSM,regular
167044897,created_by,JOSM,regular
167048917,created_by,JOSM,regular
167051342,created_by,JOSM,regular
167052464,created_by,JOSM,regular
167058348,created_by,JOSM,regular
167059426,created_by,JOSM,regular
167060296,created_by,JOSM,regular
167061204,created_by,JOSM,regular
167062394,created_by,JOSM,regular
167063493,created_by,JOSM,regular
167064541,created_by,JOSM,regular
167065880,created_by,JOSM,regular
167066968,created_by,JOSM,regular
167068049,created_by,JOSM,regular
167069285,created_by,JOSM,regular
167071396,created_by,JOSM,regular
167072272,created_by,JOSM,regular
167073097,created_by,JOSM,regular
167073879,created_by,JOSM,regular
167075791,created_by,JOSM,regular
167076734,created_by,JOSM,regular
167078553,created_by,JOSM,regular
167080560,created_by,JOSM,regular
167081683,created_by,JOSM,regular
167083720,created_by,JOSM,regular
167084693,created_by,JOSM,regular
167085666,created_by,JOSM,regular
173201889,created_by,Potlatch 0.5d,regular
173201889,highway,bus_stop,regular
173201889,loc_ref,501,regular
173651438,amenity,parking,regular
173651438,created_by,Potlatch 0.5d,regular
174278497,amenity,pub,regular
174278497,created_by,JOSM,regular
174278497,name,London,regular
175672642,created_by,JOSM,regular
175673302,created_by,JOSM,regular
175674045,created_by,JOSM,regular
175674836,created_by,JOSM,regular
175675437,created_by,JOSM,regular
175675974,created_by,JOSM,regular
175676579,created_by,JOSM,regular
175677173,created_by,JOSM,regular
175677732,created_by,JOSM,regular
175678060,created_by,JOSM,regular
175679218,created_by,JOSM,regular
175681226,created_by,JOSM,regular
175681984,created_by,JOSM,regular
175682991,created_by,JOSM,regular
175683778,created_by,JOSM,regular
175684467,created_by,JOSM,regular
175685888,created_by,JOSM,regular
175687486,created_by,JOSM,regular
175688200,created_by,JOSM,regular
175688948,created_by,JOSM,regular
175700760,created_by,JOSM,regular
175702358,created_by,JOSM,regular
175703204,created_by,JOSM,regular
175704119,created_by,JOSM,regular
175705052,created_by,JOSM,regular
176265472,highway,turning_circle,regular
176666264,created_by,JOSM,regular
176667611,created_by,JOSM,regular
181247582,traffic_calming,hump,regular
187597519,amenity,pub,regular
187597519,name,Royal Exchange Hotel,regular
192339369,created_by,JOSM,regular
193560138,highway,traffic_signals,regular
194672497,highway,turning_circle,regular
197315426,created_by,JOSM,regular
198958204,highway,turning_circle,regular
200634608,highway,traffic_signals,regular
201970854,amenity,toilets,regular
201970854,created_by,Potlatch 0.6,regular
202952029,created_by,JOSM,regular
204527844,highway,turning_circle,regular
208259946,highway,turning_circle,regular
208267414,highway,turning_circle,regular
212942638,highway,turning_circle,regular
212964169,highway,turning_circle,regular
218084927,created_by,JOSM,regular
218123390,created_by,JOSM,regular
220400170,amenity,fuel,regular
220400170,name,Mobil,regular
226222431,amenity,fuel,regular
226222431,name,Caltex Woolworths,regular
231348099,created_by,JOSM,regular
238058215,created_by,JOSM,regular
239241554,highway,turning_circle,regular
239241554,source,nearmap,regular
239242619,created_by,JOSM,regular
239326224,created_by,JOSM,regular
239326913,created_by,JOSM,regular
239327570,created_by,JOSM,regular
240527912,created_by,JOSM,regular
240528105,created_by,JOSM,regular
240528268,created_by,JOSM,regular
240571886,created_by,JOSM,regular
241875458,created_by,JOSM,regular
241875516,created_by,JOSM,regular
241875727,created_by,JOSM,regular
241878333,created_by,JOSM,regular
242084579,highway,turning_circle,regular
242168828,highway,turning_circle,regular
242537818,created_by,JOSM,regular
242537872,created_by,JOSM,regular
242539872,created_by,JOSM,regular
242956720,highway,traffic_signals,regular
243180384,created_by,JOSM,regular
243180421,created_by,JOSM,regular
243180498,created_by,JOSM,regular
243180523,created_by,JOSM,regular
243180583,created_by,JOSM,regular
243180661,created_by,JOSM,regular
243187200,created_by,JOSM,regular
243453772,created_by,JOSM,regular
243458176,created_by,JOSM,regular
243458217,created_by,JOSM,regular
243458246,created_by,JOSM,regular
243458277,created_by,JOSM,regular
243458304,created_by,JOSM,regular
243458331,created_by,JOSM,regular
243458359,created_by,JOSM,regular
243458393,created_by,JOSM,regular
243460773,created_by,JOSM,regular
243463772,created_by,JOSM,regular
243463827,created_by,JOSM,regular
243473173,highway,turning_circle,regular
243698145,created_by,JOSM,regular
243826183,created_by,JOSM,regular
243826294,created_by,JOSM,regular
243826406,created_by,JOSM,regular
243826520,created_by,JOSM,regular
243826699,created_by,JOSM,regular
243826922,created_by,JOSM,regular
243827023,created_by,JOSM,regular
244128703,created_by,JOSM,regular
244128741,created_by,JOSM,regular
244931255,created_by,JOSM,regular
244931528,created_by,JOSM,regular
244932179,created_by,JOSM,regular
244946893,created_by,JOSM,regular
245256935,barrier,gate,regular
245256935,foot,yes,regular
245843810,highway,turning_circle,regular
245844860,highway,turning_circle,regular
246295250,created_by,JOSM,regular
246295782,created_by,JOSM,regular
246299371,created_by,JOSM,regular
246302292,created_by,JOSM,regular
246321858,created_by,JOSM,regular
246771964,highway,turning_circle,regular
246789411,amenity,parking,regular
246789592,created_by,JOSM,regular
247181719,created_by,JOSM,regular
247297811,amenity,parking,regular
247297811,created_by,Potlatch 0.7a,regular
247298179,amenity,parking,regular
247298179,created_by,Potlatch 0.7a,regular
247298940,amenity,parking,regular
247298940,created_by,Potlatch 0.7a,regular
247328380,highway,turning_circle,regular
247473917,highway,turning_circle,regular
247696482,created_by,JOSM,regular
247878785,created_by,JOSM,regular
247878811,created_by,JOSM,regular
247878907,created_by,JOSM,regular
247879053,created_by,JOSM,regular
247879165,created_by,JOSM,regular
247879224,created_by,JOSM,regular
247879288,created_by,JOSM,regular
248417290,created_by,JOSM,regular
248512317,created_by,JOSM,regular
248741848,highway,turning_circle,regular
248743793,highway,turning_circle,regular
248746621,highway,turning_circle,regular
248746621,source,nearmap,regular
248751354,highway,turning_circle,regular
